Date,USDKRW,WTI,DXY
2015-11-13,1169.79,40.69,112.0264
2015-11-16,1172.67,41.68,112.2199
2015-11-17,1169.08,40.73,112.3141
2015-11-18,1167.89,40.75,112.3663
2015-11-19,1156.08,40.55,111.5749
2015-11-20,1151.63,39.39,111.7799
2015-11-23,1159.14,39.27,112.1125
2015-11-24,1149.39,40.89,111.7638
2015-11-25,1140.67,41.22,111.8936
2015-11-27,1154.43,40.57,112.2824
2015-11-30,1149.39,40.43,112.34
2015-12-01,1149.39,40.58,112.1134
2015-12-02,1149.39,39.93,112.3715
2015-12-03,1149.39,41.08,111.6407
2015-12-04,1149.39,40.0,111.5463
2015-12-07,1172.68,37.64,112.3056
2015-12-08,1179.6,37.46,112.5485
2015-12-09,1181.75,37.16,112.1918
2015-12-10,1176.39,36.76,112.2672
2015-12-11,1188.0,35.65,112.7147
2015-12-14,1186.2,36.31,112.7521
2015-12-15,1176.66,37.32,112.8609
2015-12-16,1177.19,35.55,112.9864
2015-12-17,1187.7,34.98,113.8177
2015-12-18,1178.04,34.72,113.2837
2015-12-21,1173.87,34.55,113.4144
2015-12-22,1169.26,36.12,113.211
2015-12-23,1140.67,36.76,113.1847
2015-12-24,1167.94,37.62,113.0496
2015-12-28,1169.26,36.36,113.0461
2015-12-29,1169.26,37.88,113.1664
2015-12-30,1177.53,36.59,113.4707
2015-12-31,1169.26,37.13,113.3429
2016-01-04,1191.46,36.81,114.1595
2016-01-05,1190.43,35.97,114.2649
2016-01-06,1200.16,33.97,114.6177
2016-01-07,1193.05,33.29,114.6516
2016-01-08,1206.97,33.2,115.0095
2016-01-11,1206.55,31.42,115.0139
2016-01-12,1208.95,30.42,115.3128
2016-01-13,1208.95,30.42,115.1425
2016-01-14,1211.28,31.22,115.3846
2016-01-15,1216.95,29.45,115.7404
2016-01-19,1205.61,28.47,115.8155
2016-01-20,1215.4,26.68,116.3498
2016-01-21,1204.31,29.55,115.9833
2016-01-27,1199.25,32.32,115.5087
2016-01-28,1204.08,33.21,115.2224
2016-01-29,1210.04,33.66,115.5731
2016-02-01,1203.19,31.62,115.3331
2016-02-02,1212.01,29.9,115.553
2016-02-03,1211.33,32.29,114.6144
2016-02-04,1186.11,31.63,113.6012
2016-02-05,1204.69,30.86,114.2935
2016-02-08,1205.1,29.71,114.4351
2016-02-09,1200.39,27.96,114.127
2016-02-10,1189.69,27.54,114.2877
2016-02-11,1196.89,26.19,114.1845
2016-02-12,1205.13,29.32,114.2992
2016-02-16,1219.44,29.05,114.4905
2016-02-17,1222.32,30.68,113.8634
2016-02-18,1231.15,30.77,113.8897
2016-02-19,1231.09,29.59,113.9558
2016-02-22,1223.32,31.37,113.8232
2016-02-23,1230.05,31.84,114.177
2016-02-24,1234.6,30.35,114.1716
2016-02-25,1237.39,31.4,113.9222
2016-02-26,1242.59,31.65,114.3708
2016-02-29,1238.09,32.74,114.2418
2016-03-01,1229.56,34.39,113.9265
2016-03-02,1227.59,34.57,113.7965
2016-03-03,1209.55,34.56,113.2482
2016-03-04,1195.09,35.91,112.6387
2016-03-07,1200.08,37.9,112.6219
2016-03-08,1206.19,36.67,112.8465
2016-03-09,1206.82,37.62,112.4268
2016-03-10,1204.09,37.77,112.4191
2016-03-11,1184.56,38.51,111.741
2016-03-14,1187.39,37.2,112.1688
2016-03-15,1194.99,36.32,112.5545
2016-03-16,1190.59,38.43,112.7759
2016-03-17,1155.83,40.17,110.445
2016-03-18,1160.11,39.47,110.4002
2016-03-21,1157.33,39.91,110.737
2016-03-22,1154.58,41.45,110.7877
2016-03-23,1166.59,38.28,111.5473
2016-03-24,1168.09,38.14,111.816
2016-03-28,1163.39,37.99,111.3578
2016-03-29,1164.69,36.91,111.3736
2016-03-30,1142.02,36.91,110.2301
2016-03-31,1138.86,36.94,109.9191
2016-04-01,1147.15,35.36,110.2977
2016-04-04,1151.35,34.3,110.3987
2016-04-05,1158.39,34.52,110.9478
2016-04-06,1155.28,37.74,110.5347
2016-04-07,1156.81,37.3,110.8876
2016-04-08,1148.89,39.74,110.4213
2016-04-11,1141.97,40.46,109.9758
2016-04-12,1144.53,42.12,109.816
2016-04-13,1146.29,41.7,110.1436
2016-04-14,1151.99,41.45,110.1691
2016-04-15,1144.83,40.4,110.1933
2016-04-18,1144.48,39.74,109.9892
2016-04-19,1126.01,40.88,109.2782
2016-04-20,1130.48,42.72,109.3926
2016-04-21,1135.49,43.18,109.8533
2016-04-22,1147.85,42.76,110.2331
2016-04-25,1147.76,41.67,110.1865
2016-04-26,1146.66,42.52,109.7496
2016-04-27,1151.5,45.29,109.8483
2016-04-28,1139.93,46.03,109.2148
2016-04-29,1144.09,45.98,108.8274
2016-05-02,1138.45,44.75,108.671
2016-05-03,1148.69,43.65,109.3613
2016-05-04,1164.59,43.77,109.9952
2016-05-05,1165.93,44.33,110.2417
2016-05-06,1167.29,44.58,110.3801
2016-05-09,1174.25,43.45,110.9466
2016-05-10,1169.89,44.68,110.8225
2016-05-11,1162.47,46.21,110.2806
2016-05-12,1168.7,46.64,110.6935
2016-05-13,1176.85,46.22,111.2521
2016-05-16,1177.21,47.72,111.1217
2016-05-17,1173.67,48.29,111.0867
2016-05-18,1185.77,48.12,111.4995
2016-05-19,1189.25,48.16,112.2331
2016-05-20,1186.93,47.67,112.1822
2016-05-23,1183.39,48.12,112.284
2016-05-24,1186.39,48.04,112.2912
2016-05-25,1182.21,49.1,112.2001
2016-05-26,1178.09,49.0,111.8979
2016-05-27,1180.59,49.36,112.0822
2016-05-31,1188.99,49.1,112.4276
2016-06-01,1192.09,49.07,112.462
2016-06-02,1186.69,49.14,112.4564
2016-06-03,1167.79,48.69,111.4451
2016-06-06,1162.28,49.71,111.2295
2016-06-07,1154.8,50.37,110.8378
2016-06-08,1153.83,51.23,110.1916
2016-06-09,1159.29,50.52,110.6168
2016-06-10,1167.61,49.09,111.1027
2016-06-13,1169.74,48.89,111.5036
2016-06-14,1176.78,48.49,111.9826
2016-06-15,1167.53,47.92,111.7671
2016-06-16,1176.49,46.14,112.2347
2016-06-17,1171.77,48.0,111.5332
2016-06-20,1156.8,49.4,110.8693
2016-06-21,1154.35,48.95,111.0077
2016-06-22,1147.99,49.16,110.7681
2016-06-23,1143.27,49.34,110.262
2016-06-24,1167.56,46.7,112.1355
2016-06-27,1181.24,45.8,113.1301
2016-06-28,1169.31,47.93,112.7545
2016-06-29,1153.09,49.85,111.8597
2016-06-30,1154.15,48.27,112.1618
2016-07-01,1146.49,49.02,111.6509
2016-07-05,1156.79,46.73,112.4231
2016-07-06,1160.59,47.37,112.5438
2016-07-07,1154.89,45.22,112.5775
2016-07-08,1148.71,45.37,112.3963
2016-07-11,1148.97,44.73,112.5254
2016-07-12,1146.47,46.82,112.1102
2016-07-13,1145.01,44.87,112.0266
2016-07-14,1130.65,45.64,111.7692
2016-07-15,1135.49,45.93,112.2833
2016-07-18,1134.39,45.23,112.2463
2016-07-19,1140.56,44.64,112.638
2016-07-20,1142.33,44.96,112.6743
2016-07-21,1137.31,43.96,112.6239
2016-07-22,1137.49,43.41,112.989
2016-07-25,1140.8,42.4,113.1784
2016-07-26,1137.59,42.16,113.0593
2016-07-27,1135.09,41.9,113.217
2016-07-28,1124.79,41.13,112.7393
2016-07-29,1112.89,41.54,111.874
2016-08-01,1106.15,40.05,111.9757
2016-08-02,1108.35,39.5,111.7124
2016-08-03,1116.21,40.8,111.9419
2016-08-04,1111.99,41.92,111.9149
2016-08-05,1114.54,41.83,112.3589
2016-08-08,1108.24,43.06,112.1456
2016-08-09,1101.45,42.78,111.722
2016-08-10,1095.84,41.75,111.3238
2016-08-11,1097.39,43.51,111.1954
2016-08-12,1100.79,44.47,111.1787
2016-08-15,1095.83,45.72,110.9212
2016-08-16,1093.95,46.57,110.4295
2016-08-17,1114.25,46.81,110.9459
2016-08-18,1107.41,48.2,110.3134
2016-08-19,1116.37,48.48,110.8163
2016-08-22,1120.93,46.8,110.9997
2016-08-23,1116.91,47.54,110.9414
2016-08-24,1121.34,46.29,111.2958
2016-08-25,1115.23,46.97,111.1726
2016-08-26,1111.47,47.64,111.2035
2016-08-29,1121.53,46.97,111.8775
2016-08-30,1118.27,46.32,112.2928
2016-08-31,1115.98,44.68,112.4036
2016-09-01,1116.89,43.17,112.1733
2016-09-02,1114.87,44.39,112.0009
2016-09-06,1093.04,44.85,110.9613
2016-09-07,1090.03,45.47,110.9717
2016-09-08,1095.27,47.63,111.2609
2016-09-09,1106.83,45.88,111.9879
2016-09-12,1112.03,46.28,112.1516
2016-09-13,1124.61,44.91,112.5207
2016-09-14,1123.81,43.62,112.4678
2016-09-15,1122.83,43.85,112.4753
2016-09-16,1127.37,43.04,113.1765
2016-09-19,1117.44,43.34,112.903
2016-09-20,1117.34,43.85,113.1848
2016-09-21,1112.17,45.33,112.9842
2016-09-22,1100.59,46.1,112.2592
2016-09-23,1102.21,44.36,112.7166
2016-09-26,1106.99,45.6,112.7112
2016-09-27,1099.22,44.65,112.5515
2016-09-28,1096.73,47.07,112.6283
2016-09-29,1097.39,47.72,112.2879
2016-09-30,1097.98,47.72,112.2795
2016-10-03,1104.79,48.8,112.5077
2016-10-04,1110.77,48.67,112.6579
2016-10-05,1114.53,49.75,112.7946
2016-10-06,1114.53,50.44,113.0066
2016-10-07,1115.95,49.76,113.2915
2016-10-11,1124.21,50.72,113.4461
2016-10-12,1127.23,50.14,113.7442
2016-10-13,1133.31,50.47,113.6238
2016-10-14,1133.13,50.35,113.7119
2016-10-17,1137.61,49.97,113.5488
2016-10-18,1123.75,50.3,113.1393
2016-10-19,1120.01,51.59,113.0547
2016-10-20,1128.39,50.31,113.4033
2016-10-21,1137.17,50.61,113.9015
2016-10-24,1135.4,50.18,113.8571
2016-10-25,1129.89,49.45,113.6801
2016-10-26,1134.94,48.75,113.8131
2016-10-27,1145.85,49.71,114.1998
2016-10-28,1146.49,48.72,114.0931
2016-10-31,1145.37,46.83,114.0188
2016-11-01,1142.68,46.66,113.9915
2016-11-02,1148.39,45.32,113.9206
2016-11-03,1142.68,44.66,113.7664
2016-11-04,1142.68,44.07,113.5828
2016-11-07,1141.27,44.88,113.5443
2016-11-08,1131.39,44.96,113.3017
2016-11-09,1150.64,45.2,114.6956
2016-11-10,1162.11,44.62,115.9375
2016-11-14,1171.25,43.29,117.2245
2016-11-15,1170.21,45.86,116.7724
2016-11-16,1172.41,45.56,116.8062
2016-11-17,1176.03,45.37,116.8952
2016-11-18,1177.71,45.69,117.5936
2016-11-21,1178.51,47.48,117.4762
2016-11-22,1173.25,48.07,117.4508
2016-11-23,1181.57,46.72,118.0356
2016-11-25,1174.99,46.72,118.02
2016-11-28,1170.53,45.66,117.7278
2016-11-29,1169.99,45.29,117.644
2016-11-30,1175.87,49.41,117.7636
2016-12-01,1167.31,51.08,117.6642
2016-12-02,1167.7,51.7,117.3116
2016-12-05,1168.11,51.72,117.1008
2016-12-06,1171.5,50.95,116.9225
2016-12-07,1161.67,49.85,116.672
2016-12-08,1162.49,50.84,117.0327
2016-12-09,1171.88,51.51,117.2834
2016-12-12,1164.37,52.74,116.9161
2016-12-13,1164.65,52.99,116.8029
2016-12-14,1165.13,51.01,116.7332
2016-12-15,1185.35,50.9,118.8072
2016-12-16,1183.72,51.93,118.3584
2016-12-19,1187.71,52.13,118.3875
2016-12-20,1192.13,52.22,118.63
2016-12-21,1193.91,51.44,118.581
2016-12-22,1204.65,51.98,118.8209
2016-12-23,1201.51,52.01,118.7856
2016-12-27,1207.68,52.82,118.9506
2016-12-28,1212.22,54.01,119.2305
2016-12-29,1207.05,53.8,118.6637
2016-12-30,1203.73,53.75,118.3466
2017-01-03,1207.23,52.36,119.0903
2017-01-04,1198.07,53.26,118.8803
2017-01-05,1182.46,53.77,117.9999
2017-01-06,1198.85,53.98,118.3495
